timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762586170649,19,Fixed Window Test,200,OK,Baseline (small load) 1-1,text,true,,348,164,1,1,http://127.0.0.1:8000/request?algo=fixed_window,19,0,9
1762586173556,56,Fixed Window Test,200,OK,Baseline (small load) 1-2,text,true,,348,164,2,2,http://127.0.0.1:8000/request?algo=fixed_window,56,0,1
1762586176554,24,Fixed Window Test,200,OK,Baseline (small load) 1-3,text,true,,348,164,3,3,http://127.0.0.1:8000/request?algo=fixed_window,24,0,1
1762586176559,19,Sliding Window Test,200,OK,Baseline (small load) 1-1,text,true,,380,167,3,3,http://127.0.0.1:8000/request?algo=sliding_counter,19,0,1
1762586179554,23,Fixed Window Test,200,OK,Baseline (small load) 1-4,text,true,,348,164,4,4,http://127.0.0.1:8000/request?algo=fixed_window,23,0,1
1762586179553,25,Sliding Window Test,200,OK,Baseline (small load) 1-2,text,true,,380,167,4,4,http://127.0.0.1:8000/request?algo=sliding_counter,25,0,1
1762586182555,7,Fixed Window Test,200,OK,Baseline (small load) 1-5,text,true,,348,164,5,5,http://127.0.0.1:8000/request?algo=fixed_window,7,0,1
1762586182553,9,Sliding Window Test,200,OK,Baseline (small load) 1-3,text,true,,380,167,5,5,http://127.0.0.1:8000/request?algo=sliding_counter,9,0,1
1762586182558,4,Token Bucket Test,200,OK,Baseline (small load) 1-1,text,true,,346,164,5,5,http://127.0.0.1:8000/request?algo=token_bucket,4,0,0
1762586185555,26,Fixed Window Test,200,OK,Baseline (small load) 1-6,text,true,,348,164,6,6,http://127.0.0.1:8000/request?algo=fixed_window,26,0,1
1762586185554,27,Token Bucket Test,200,OK,Baseline (small load) 1-2,text,true,,346,164,6,6,http://127.0.0.1:8000/request?algo=token_bucket,27,0,1
1762586185554,35,Sliding Window Test,200,OK,Baseline (small load) 1-4,text,true,,380,167,6,6,http://127.0.0.1:8000/request?algo=sliding_counter,35,0,2
1762586188558,19,Leaky Bucket Test,200,OK,Baseline (small load) 1-1,text,true,,376,164,7,7,http://127.0.0.1:8000/request?algo=leaky_bucket,19,0,2
1762586188557,22,Token Bucket Test,200,OK,Baseline (small load) 1-3,text,true,,346,164,7,7,http://127.0.0.1:8000/request?algo=token_bucket,22,0,1
1762586188555,25,Sliding Window Test,200,OK,Baseline (small load) 1-5,text,true,,380,167,7,7,http://127.0.0.1:8000/request?algo=sliding_counter,25,0,1
1762586188564,18,Fixed Window Test,200,OK,Baseline (small load) 1-7,text,true,,348,164,7,7,http://127.0.0.1:8000/request?algo=fixed_window,18,0,2
1762586191554,32,Leaky Bucket Test,200,OK,Baseline (small load) 1-2,text,true,,376,164,8,8,http://127.0.0.1:8000/request?algo=leaky_bucket,32,0,2
1762586191563,27,Fixed Window Test,200,OK,Baseline (small load) 1-8,text,true,,348,164,8,8,http://127.0.0.1:8000/request?algo=fixed_window,27,0,1
1762586191558,32,Token Bucket Test,200,OK,Baseline (small load) 1-4,text,true,,346,164,8,8,http://127.0.0.1:8000/request?algo=token_bucket,32,0,1
1762586191554,37,Sliding Window Test,200,OK,Baseline (small load) 1-6,text,true,,380,167,8,8,http://127.0.0.1:8000/request?algo=sliding_counter,37,0,4
1762586194560,14,Leaky Bucket Test,200,OK,Baseline (small load) 1-3,text,true,,376,164,9,9,http://127.0.0.1:8000/request?algo=leaky_bucket,14,0,1
1762586194556,19,Token Bucket Test,200,OK,Baseline (small load) 1-5,text,true,,346,164,9,9,http://127.0.0.1:8000/request?algo=token_bucket,18,0,3
1762586194557,18,Fixed Window Test,200,OK,Baseline (small load) 1-9,text,true,,349,165,9,9,http://127.0.0.1:8000/request?algo=fixed_window,18,0,2
1762586194565,15,Sliding Window Test,200,OK,Baseline (small load) 1-7,text,true,,380,167,9,9,http://127.0.0.1:8000/request?algo=sliding_counter,15,0,1
1762586194565,17,Fixed Window Test,200,OK,Baseline (small load) 1-1,text,true,,348,164,9,9,http://127.0.0.1:8000/request?algo=fixed_window,17,0,1
1762586197554,14,Fixed Window Test,200,OK,Baseline (small load) 1-10,text,true,,349,165,10,10,http://127.0.0.1:8000/request?algo=fixed_window,14,0,1
1762586197557,11,Leaky Bucket Test,200,OK,Baseline (small load) 1-4,text,true,,374,164,10,10,http://127.0.0.1:8000/request?algo=leaky_bucket,11,0,2
1762586197555,14,Token Bucket Test,200,OK,Baseline (small load) 1-6,text,true,,346,164,10,10,http://127.0.0.1:8000/request?algo=token_bucket,14,0,1
1762586197555,15,Fixed Window Test,200,OK,Baseline (small load) 1-2,text,true,,349,165,10,10,http://127.0.0.1:8000/request?algo=fixed_window,15,0,2
1762586197564,9,Sliding Window Test,200,OK,Baseline (small load) 1-8,text,true,,380,167,10,10,http://127.0.0.1:8000/request?algo=sliding_counter,9,0,4
1762586200554,21,Leaky Bucket Test,200,OK,Baseline (small load) 1-5,text,true,,376,164,10,10,http://127.0.0.1:8000/request?algo=leaky_bucket,21,0,3
1762586200558,24,Sliding Window Test,200,OK,Baseline (small load) 1-9,text,true,,381,168,10,10,http://127.0.0.1:8000/request?algo=sliding_counter,24,0,1
1762586200554,31,Fixed Window Test,200,OK,Baseline (small load) 1-3,text,true,,349,165,10,10,http://127.0.0.1:8000/request?algo=fixed_window,31,0,3
1762586200562,27,Token Bucket Test,200,OK,Baseline (small load) 1-7,text,true,,346,164,10,10,http://127.0.0.1:8000/request?algo=token_bucket,27,0,3
1762586200559,34,Sliding Window Test,200,OK,Baseline (small load) 1-1,text,true,,380,167,10,10,http://127.0.0.1:8000/request?algo=sliding_counter,34,0,2
1762586203553,27,Leaky Bucket Test,200,OK,Baseline (small load) 1-6,text,true,,376,164,10,10,http://127.0.0.1:8000/request?algo=leaky_bucket,27,0,2
1762586203553,27,Sliding Window Test,200,OK,Baseline (small load) 1-10,text,true,,381,168,10,10,http://127.0.0.1:8000/request?algo=sliding_counter,27,0,2
1762586203555,39,Sliding Window Test,200,OK,Baseline (small load) 1-2,text,true,,381,168,10,10,http://127.0.0.1:8000/request?algo=sliding_counter,39,0,2
1762586203563,31,Token Bucket Test,200,OK,Baseline (small load) 1-8,text,true,,346,164,10,10,http://127.0.0.1:8000/request?algo=token_bucket,31,0,2
1762586203554,40,Fixed Window Test,200,OK,Baseline (small load) 1-4,text,true,,349,165,10,10,http://127.0.0.1:8000/request?algo=fixed_window,40,0,2
1762586206554,20,Sliding Window Test,200,OK,Baseline (small load) 1-3,text,true,,381,168,10,10,http://127.0.0.1:8000/request?algo=sliding_counter,20,0,5
1762586206555,19,Token Bucket Test,200,OK,Baseline (small load) 1-9,text,true,,347,165,10,10,http://127.0.0.1:8000/request?algo=token_bucket,19,0,3
1762586206554,22,Fixed Window Test,200,OK,Baseline (small load) 1-5,text,true,,349,165,10,10,http://127.0.0.1:8000/request?algo=fixed_window,22,0,3
1762586206558,20,Token Bucket Test,200,OK,Baseline (small load) 1-1,text,true,,346,164,10,10,http://127.0.0.1:8000/request?algo=token_bucket,20,0,3
1762586206564,18,Leaky Bucket Test,200,OK,Baseline (small load) 1-7,text,true,,376,164,10,10,http://127.0.0.1:8000/request?algo=leaky_bucket,18,0,7
1762586209554,10,Token Bucket Test,200,OK,Baseline (small load) 1-10,text,true,,347,165,10,10,http://127.0.0.1:8000/request?algo=token_bucket,10,0,2
1762586209555,15,Sliding Window Test,200,OK,Baseline (small load) 1-4,text,true,,381,168,10,10,http://127.0.0.1:8000/request?algo=sliding_counter,15,0,2
1762586209555,15,Fixed Window Test,200,OK,Baseline (small load) 1-6,text,true,,349,165,10,10,http://127.0.0.1:8000/request?algo=fixed_window,15,0,2
1762586209554,16,Token Bucket Test,200,OK,Baseline (small load) 1-2,text,true,,347,165,10,10,http://127.0.0.1:8000/request?algo=token_bucket,16,0,2
1762586209564,11,Leaky Bucket Test,200,OK,Baseline (small load) 1-8,text,true,,376,164,10,10,http://127.0.0.1:8000/request?algo=leaky_bucket,11,0,3
1762586212556,35,Leaky Bucket Test,200,OK,Baseline (small load) 1-9,text,true,,375,165,10,10,http://127.0.0.1:8000/request?algo=leaky_bucket,35,0,1
1762586212564,28,Fixed Window Test,200,OK,Baseline (small load) 1-7,text,true,,349,165,10,10,http://127.0.0.1:8000/request?algo=fixed_window,28,0,3
1762586212554,38,Sliding Window Test,200,OK,Baseline (small load) 1-5,text,true,,381,168,10,10,http://127.0.0.1:8000/request?algo=sliding_counter,38,0,2
1762586212558,34,Leaky Bucket Test,200,OK,Baseline (small load) 1-1,text,true,,376,164,10,10,http://127.0.0.1:8000/request?algo=leaky_bucket,34,0,1
1762586212554,38,Token Bucket Test,200,OK,Baseline (small load) 1-3,text,true,,347,165,10,10,http://127.0.0.1:8000/request?algo=token_bucket,38,0,2
1762586215554,22,Leaky Bucket Test,200,OK,Baseline (small load) 1-10,text,true,,377,165,10,10,http://127.0.0.1:8000/request?algo=leaky_bucket,22,0,1
1762586215555,33,Token Bucket Test,200,OK,Baseline (small load) 1-4,text,true,,347,165,10,10,http://127.0.0.1:8000/request?algo=token_bucket,33,0,1
1762586215563,26,Fixed Window Test,200,OK,Baseline (small load) 1-8,text,true,,349,165,10,10,http://127.0.0.1:8000/request?algo=fixed_window,26,0,2
1762586215553,39,Sliding Window Test,200,OK,Baseline (small load) 1-6,text,true,,381,168,10,10,http://127.0.0.1:8000/request?algo=sliding_counter,39,0,2
1762586215553,40,Leaky Bucket Test,200,OK,Baseline (small load) 1-2,text,true,,377,165,10,10,http://127.0.0.1:8000/request?algo=leaky_bucket,40,0,3
1762586218555,18,Fixed Window Test,200,OK,Baseline (small load) 1-9,text,true,,349,165,10,10,http://127.0.0.1:8000/request?algo=fixed_window,18,0,1
1762586218559,23,Fixed Window Test,200,OK,Baseline (small load) 1-1,text,true,,349,165,10,10,http://127.0.0.1:8000/request?algo=fixed_window,23,0,1
1762586218554,29,Token Bucket Test,200,OK,Baseline (small load) 1-5,text,true,,347,165,10,10,http://127.0.0.1:8000/request?algo=token_bucket,29,0,4
1762586218558,28,Leaky Bucket Test,200,OK,Baseline (small load) 1-3,text,true,,375,165,10,10,http://127.0.0.1:8000/request?algo=leaky_bucket,28,0,2
1762586218565,22,Sliding Window Test,200,OK,Baseline (small load) 1-7,text,true,,381,168,10,10,http://127.0.0.1:8000/request?algo=sliding_counter,22,0,2
